timestamp,no error,error 5%,error 10%,error 15%
"01/21/2019, 20:16:00",0.9788731389,0.9883142928,0.9795894649,0.9578885402
"01/21/2019, 20:18:00",0.5635707143,0.7637313916,0.818450175,0.525044413
"01/21/2019, 20:20:00",0.9635941804,0.9974733973,0.9978468729,0.9992035166
"01/21/2019, 20:22:00",0.9798125045,0.9958213226,0.9959621376,0.9905345358
"01/21/2019, 20:24:00",0.994461036,0.9995762748,0.9994912284,0.9973751957
"01/21/2019, 20:26:00",0.9965922123,0.9866534003,0.9949149627,0.9989768502
"01/21/2019, 20:28:00",0.9527079586,0.9591529005,0.9230555447,0.8848817231
"01/21/2019, 20:30:00",0.999463061,0.9992595797,0.9967986855,0.9781638363
"01/21/2019, 20:32:00",0.9771263619,0.9976616602,0.9451344097,0.9949011923
"01/21/2019, 20:34:00",0.9941466319,0.9989151874,0.9988872323,0.996394082
"01/21/2019, 20:36:00",0.9728405832,0.9874816143,0.9987247081,0.994060114
"01/21/2019, 20:38:00",0.9989830771,0.9735645756,0.9998891117,0.9802314685
"01/21/2019, 20:40:00",0.999374613,0.9811654058,0.9970194703,0.9978748356
"01/21/2019, 20:42:00",0.8429487743,0.9863561413,0.9356024493,0.978524808
"01/21/2019, 20:44:00",0.9995858083,0.9970171245,0.9952824627,0.9989794592
"01/21/2019, 20:46:00",0.977198235,0.9971014114,0.9768786358,0.977282611
"01/21/2019, 20:48:00",0.9883605286,0.9955845342,0.9902825958,0.3197248096
"01/21/2019, 20:50:00",0.9972844734,0.9948664665,0.9983585396,0.9945280441
"01/21/2019, 20:52:00",0.9598739118,0.9990185481,0.9968267525,0.9998324465
"01/21/2019, 20:54:00",0.9988095721,0.9607380186,0.9835144306,0.8450774793
"01/21/2019, 20:56:00",0.9918763062,0.9989345224,0.943834723,0.9992468345
"01/21/2019, 20:58:00",0.9909111714,0.9591273228,0.9874427766,0.9438446552
"01/21/2019, 21:00:00",0.9980526,0.9374094951,0.997892247,0.9978601648
"01/21/2019, 21:02:00",0.9996960163,0.9995835989,0.9999286526,0.9648860071
"01/21/2019, 21:04:00",0.9798305568,0.9964272093,0.9709066596,0.9917773113
"01/21/2019, 21:06:00",0.9849261133,0.9996133759,0.859591033,0.7118673449
"01/21/2019, 21:08:00",0.9946925613,0.9802282867,0.9995618326,0.9960045943
"01/21/2019, 21:10:00",0.9115298595,0.9130505582,0.9960132385,0.9871004435
"01/21/2019, 21:12:00",0.9862061384,0.9938846151,0.997417779,0.9984517921
"01/21/2019, 21:14:00",0.9927757776,0.9625506341,0.9662062711,0.997315922
"01/21/2019, 21:16:00",0.9013164634,0.9575539119,0.9997561295,0.9995864642
"01/21/2019, 21:18:00",0.9991809909,0.6601665987,0.9978215369,0.9978053931
"01/21/2019, 21:20:00",0.9012691048,0.9855343612,0.9960133277,0.9951094318
"01/21/2019, 21:22:00",0.9959440593,0.9980152093,0.9963868005,0.9960642043
"01/21/2019, 21:24:00",0.9905589941,0.9761393884,0.9953911172,0.9939527155
"01/21/2019, 21:26:00",0.9930468821,0.9993270924,0.919855555,0.9331452274
"01/21/2019, 21:28:00",0.9782974909,0.9823756248,0.8689082616,0.9599213895
"01/21/2019, 21:30:00",0.9955289189,0.9994763051,0.9887602524,0.9974890238
"01/21/2019, 21:32:00",0.9942239094,0.9748544142,0.5135711342,0.9635877956
"01/21/2019, 21:34:00",0.9700987176,0.9767066491,0.9946419273,0.9135718532
"01/21/2019, 21:36:00",0.9991332136,0.9844657027,0.9829792274,0.9984008279
"01/21/2019, 21:38:00",0.5806024979,0.3073817869,0.6138657538,0.5191057402
"01/21/2019, 21:40:00",0.9994615341,0.9311027282,0.997541055,0.9510779387
"01/21/2019, 21:42:00",0.9981965284,0.9998825089,0.9994894596,0.9290098974
"01/21/2019, 21:44:00",0.9872940857,0.9990755188,0.9692552717,0.9804851118
"01/21/2019, 21:46:00",0.9928289451,0.9091180426,0.995876156,0.9674372208
"01/21/2019, 21:48:00",0.9969351102,0.9989664932,0.9982093152,0.997264742
"01/21/2019, 21:50:00",0.99297553,0.9828251783,0.9988072176,0.9974498493
"01/21/2019, 21:52:00",0.9970596068,0.9941584992,0.9756736067,0.977553994
"01/21/2019, 21:54:00",0.9921369624,0.9959096949,0.9960876439,0.9870362578
"01/21/2019, 21:56:00",0.998695472,0.917264026,0.9838708319,0.9795673647
"01/21/2019, 21:58:00",0.9527404534,0.9824197771,0.9850519278,0.514539302
"01/21/2019, 22:00:00",0.9943112562,0.9689756729,0.9705518902,0.9580933533
"01/21/2019, 22:02:00",0.9908388493,0.9967714043,0.9985299794,0.9747663833
"01/21/2019, 22:04:00",0.9918941101,0.9804303153,0.9974892105,0.9963579773
"01/21/2019, 22:06:00",0.9937029079,0.5254708184,0.9962294673,0.9979112507
"01/21/2019, 22:08:00",0.9787533359,0.982548982,0.9964071557,0.9978709765
"01/21/2019, 22:10:00",0.9977054557,0.9984665319,0.9841530193,0.9994716735
"01/21/2019, 22:12:00",0.9998028636,0.9981419987,0.9988972479,0.9956900323
"01/21/2019, 22:14:00",0.9582468837,0.9494775635,0.9971611684,0.9908584956
"01/21/2019, 22:16:00",0.9280676139,0.9955475847,0.9601498089,0.9920668414
"01/21/2019, 22:18:00",0.9859801635,0.9848381146,0.8132516408,0.9544460503
"01/21/2019, 22:20:00",0.9909886849,0.9898786289,0.9991244908,0.9635695382
"01/21/2019, 22:22:00",0.9992582371,0.9996511081,0.9973288836,0.9985436742
"01/21/2019, 22:24:00",0.9992462249,0.9997114881,0.9985264774,0.9508878096
"01/21/2019, 22:26:00",0.9735134808,0.981092705,0.9788313502,0.9617837237
"01/21/2019, 22:28:00",0.997449106,0.9998849503,0.592235712,0.5928672916
"01/21/2019, 22:30:00",0.2833782077,0.9972115473,0.9991197142,0.9990588473
"01/21/2019, 22:32:00",0.4613399389,0.9995693576,0.9845986646,0.9991631106
"01/21/2019, 22:34:00",0.9854669305,0.9904223585,0.9903423975,0.9993267359
"01/21/2019, 22:36:00",0.9709374418,0.9988724535,0.9834663703,0.9878327577
"01/21/2019, 22:38:00",0.899338903,0.9751038691,0.9969056346,0.6010119812
"01/21/2019, 22:40:00",0.999567091,0.9975184373,0.9985867078,0.9937811724
"01/21/2019, 22:42:00",0.9984801574,0.9091409582,0.9904727753,0.8291549452
"01/21/2019, 22:44:00",0.99566667,0.9781225911,0.9829515597,0.9816040614
"01/21/2019, 22:46:00",0.9961375534,0.9630751492,0.9837581469,0.997589362
"01/21/2019, 22:48:00",0.9994607828,0.959643155,0.35808657,0.9043668912
"01/21/2019, 22:50:00",0.9900305713,0.9516594793,0.9971574794,0.9549098172
"01/21/2019, 22:52:00",0.9875586704,0.9976900487,0.998808264,0.9766959864
"01/21/2019, 22:54:00",0.7410968558,0.9671397735,0.9876820212,0.9978133531
"01/21/2019, 22:56:00",0.9960519613,0.9948011986,0.9989419502,0.9966237891
"01/21/2019, 22:58:00",0.9602039473,0.9747299036,0.9031883854,0.4143174631
"01/21/2019, 23:00:00",0.9990354866,0.9395485921,0.998744313,0.9823667291
"01/21/2019, 23:02:00",0.9995219876,0.9973758481,0.995901068,0.9659535262
"01/21/2019, 23:04:00",0.9898821245,0.9998255641,0.9984746552,0.9889820898
"01/21/2019, 23:06:00",0.9962019664,0.9995728939,0.9929427998,0.9932768716
"01/21/2019, 23:08:00",0.9997346633,0.9888684236,0.9976511166,0.6563152884
"01/21/2019, 23:10:00",0.9988518358,0.983250425,0.9995406212,0.9891527983
"01/21/2019, 23:12:00",0.9993905689,0.9989650528,0.9995160501,0.9990191265
"01/21/2019, 23:14:00",0.9870926834,0.9998634844,0.880837594,0.9995759349
"01/21/2019, 23:16:00",0.9600030563,0.9984429637,0.9865298792,0.9750204034
"01/21/2019, 23:18:00",0.9984866119,0.9981041709,0.9978113791,0.9976163928
"01/21/2019, 23:20:00",0.9859275642,0.9961136388,0.9940913899,0.9947625637
"01/21/2019, 23:22:00",0.9918837535,0.9951181859,0.9992109236,0.9890526923
"01/21/2019, 23:24:00",0.9897719955,0.2738274271,0.9993506254,0.875654462
"01/21/2019, 23:26:00",0.9923827891,0.9953246697,0.9898190699,0.9813127378
"01/21/2019, 23:28:00",0.9912445053,0.9824811284,0.967517042,0.9849583006
"01/21/2019, 23:30:00",0.9973563987,0.9963777775,0.9974164294,0.9875976004
"01/21/2019, 23:32:00",0.9984719497,0.9986685453,0.9971739993,0.983532784
"01/21/2019, 23:34:00",0.9945428608,0.9996248044,0.9869391897,0.999373991
"01/21/2019, 23:36:00",0.9994521553,0.987854492,0.9971522608,0.9998627104
"01/21/2019, 23:38:00",0.9967808057,0.999374593,0.9963162946,0.9981890306
"01/21/2019, 23:40:00",0.9973953038,0.996141991,0.9980432856,0.9937639709
"01/21/2019, 23:42:00",0.9973858081,0.9944832622,0.9888064586,0.9989823218
"01/21/2019, 23:44:00",0.9907064649,0.9761480521,0.9962959658,0.9992348174
"01/21/2019, 23:46:00",0.9995839426,0.984992307,0.9411234795,0.9974694952
"01/21/2019, 23:48:00",0.8163509489,0.9655578504,0.8464811856,0.856415829
"01/21/2019, 23:50:00",0.9987931413,0.9981483402,0.9976003255,0.9980354424
"01/21/2019, 23:52:00",0.9890197012,0.9594028158,0.9970284967,0.9833351408
"01/21/2019, 23:54:00",0.995522675,0.9983331347,0.9946413534,0.9961691209
"01/21/2019, 23:56:00",0.9934735992,0.9947838431,0.9970882385,0.9956167002
"01/21/2019, 23:58:00",0.9987309532,0.9887030987,0.9949579019,0.9965305751
"01/22/2019, 00:00:00",0.996847163,0.9976833587,0.9951021567,0.9978503091
"01/22/2019, 00:02:00",0.9993774614,0.9994590231,0.9991900517,0.9887985006
"01/22/2019, 00:04:00",0.9995807744,0.998004013,0.9987325992,0.9959191414
"01/22/2019, 00:06:00",0.9985483518,0.999081736,0.9982465195,0.9968543076
"01/22/2019, 00:08:00",0.9997279013,0.9487059087,0.985474117,0.9978606918
"01/22/2019, 00:10:00",0.9942808189,0.9977856093,0.9975350982,0.9947046204
"01/22/2019, 00:12:00",0.9728355377,0.9981302253,0.9967984599,0.9971088476
"01/22/2019, 00:14:00",0.9955130167,0.9953463142,0.999815549,0.9980930055
"01/22/2019, 00:16:00",0.9990497095,0.9996345809,0.9982775531,0.977647314
"01/22/2019, 00:18:00",0.9999113734,0.9994749599,0.9995087142,0.9938421583
"01/22/2019, 00:20:00",0.9988738148,0.9990598103,0.9938143486,0.9992469714
"01/22/2019, 00:22:00",0.9971117906,0.999224106,0.9999583464,0.9860294264
"01/22/2019, 00:24:00",0.9931103207,0.9991421072,0.9969911772,0.9798678663
"01/22/2019, 00:26:00",0.9978845771,0.9549395622,0.9998940682,0.93401404
"01/22/2019, 00:28:00",0.8226599991,0.9759418886,0.7278571968,0.9747706263
"01/22/2019, 00:30:00",0.9995191762,0.9957768841,0.9965467732,0.9901382839
"01/22/2019, 00:32:00",0.9901010612,0.9825299865,0.9989231006,0.9789130117
"01/22/2019, 00:34:00",0.9986128424,0.9993586848,0.9994679671,0.999270295
"01/22/2019, 00:36:00",0.9994380326,0.9981484883,0.9315880759,0.9929688222
"01/22/2019, 00:38:00",0.9985230715,0.9590549087,0.9980236838,0.9581571089
"01/22/2019, 00:40:00",0.9996185602,0.9971036735,0.9996647983,0.9980285069
"01/22/2019, 00:42:00",0.9991887939,0.9995007922,0.9979522287,0.9992783635
"01/22/2019, 00:44:00",0.9976438542,0.9987137382,0.9956136521,0.9927898292
"01/22/2019, 00:46:00",0.9969473875,0.9693909157,0.9957525137,0.9983019304
"01/22/2019, 00:48:00",0.5388905928,0.9986654838,0.5521591471,0.9930661587
"01/22/2019, 00:50:00",0.9976056157,0.9990389327,0.9991543368,0.9989354229
"01/22/2019, 00:52:00",0.9879555969,0.9998001117,0.7352741977,0.7558770823
"01/22/2019, 00:54:00",0.9938042211,0.9991352775,0.9930111178,0.991482404
"01/22/2019, 00:56:00",0.9986178525,0.9993592229,0.9974221434,0.9922542314
"01/22/2019, 00:58:00",0.9978689892,0.9989780929,0.9995075219,0.9556280651
"01/22/2019, 01:00:00",0.9987585446,0.997055925,0.9976589397,0.9984213066
"01/22/2019, 01:02:00",0.9977142951,0.9991145775,0.989800127,0.9901866799
"01/22/2019, 01:04:00",0.9388994361,0.999974272,0.9271465655,0.9958353216
"01/22/2019, 01:06:00",0.9622602609,0.9757448292,0.9643992631,0.9849545746
"01/22/2019, 01:08:00",0.9977978165,0.999314666,0.9839913256,0.9850579443
"01/22/2019, 01:10:00",0.9964079396,0.9692439576,0.9709346872,0.9705041094
"01/22/2019, 01:12:00",0.9961315226,0.9964468741,0.9947795431,0.9993404818
"01/22/2019, 01:14:00",0.999019594,0.9999648874,0.9998180268,0.9993650581
"01/22/2019, 01:16:00",0.993473166,0.9976600532,0.9994499,0.9879642869
"01/22/2019, 01:18:00",0.4148883945,0.2752469403,0.9432545073,0.4406713398
"01/22/2019, 01:20:00",0.99953283,0.9998452888,0.9988505912,0.995627316
"01/22/2019, 01:22:00",0.994949017,0.9982532303,0.9721557896,0.9778247803
